Biomarker,Level,Quartile,Tumor_type
TGFa ,16.542,Q2,Breast
TGFa ,16.566,Q3,Breast
TGFa ,16.542,Q2,Colorectum
TGFa ,16.698,Q3,Colorectum
TGFa ,16.75,Q2,Esophagus
TGFa ,27.03,Q3,Esophagus
TGFa ,16.542,Q2,Liver
TGFa ,19.0875,Q3,Liver
TGFa ,16.542,Q2,Lung
TGFa ,17.088,Q3,Lung
TGFa ,16.428,Q2,Normal
TGFa ,16.524,Q3,Normal
TGFa ,16.89,Q2,Ovary
TGFa ,16.89,Q3,Ovary
TGFa ,16.578,Q2,Pancreas
TGFa ,16.908,Q3,Pancreas
TGFa ,16.542,Q2,Stomach
TGFa ,48.5725,Q3,Stomach
IL-8 ,8.975,Q2,Breast
IL-8 ,14.4025,Q3,Breast
IL-8 ,15.795,Q2,Colorectum
IL-8 ,27.762,Q3,Colorectum
IL-8 ,30.79,Q2,Esophagus
IL-8 ,54.56,Q3,Esophagus
IL-8 ,28.314999999999998,Q2,Liver
IL-8 ,42.3425,Q3,Liver
IL-8 ,11.34,Q2,Lung
IL-8 ,27.762,Q3,Lung
IL-8 ,8.178,Q2,Normal
IL-8 ,8.28,Q3,Normal
IL-8 ,13.67,Q2,Ovary
IL-8 ,22.0175,Q3,Ovary
IL-8 ,21.2,Q2,Pancreas
IL-8 ,47.53,Q3,Pancreas
IL-8 ,28.601,Q2,Stomach
IL-8 ,62.295,Q3,Stomach
IL-6 ,6.529999999999999,Q2,Breast
IL-6 ,15.528,Q3,Breast
IL-6 ,11.316,Q2,Colorectum
IL-6 ,39.4975,Q3,Colorectum
IL-6 ,67.26,Q2,Esophagus
IL-6 ,159.62,Q3,Esophagus
IL-6 ,19.28,Q2,Liver
IL-6 ,94.025,Q3,Liver
IL-6 ,15.528,Q2,Lung
IL-6 ,96.804,Q3,Lung
IL-6 ,3.66,Q2,Normal
IL-6 ,4.745,Q3,Normal
IL-6 ,10.5,Q2,Ovary
IL-6 ,34.385,Q3,Ovary
IL-6 ,12.54,Q2,Pancreas
IL-6 ,39.32,Q3,Pancreas
IL-6 ,21.425,Q2,Stomach
IL-6 ,39.205,Q3,Stomach
Prolactin ,19069.22,Q2,Breast
Prolactin ,37123.755,Q3,Breast
Prolactin ,20476.185,Q2,Colorectum
Prolactin ,47067.292499999996,Q3,Colorectum
Prolactin ,16299.62,Q2,Esophagus
Prolactin ,26094.45,Q3,Esophagus
Prolactin ,26310.379999999997,Q2,Liver
Prolactin ,72815.76,Q3,Liver
Prolactin ,49485.615,Q2,Lung
Prolactin ,96928.34,Q3,Lung
Prolactin ,10095.19,Q2,Normal
Prolactin ,14428.325,Q3,Normal
Prolactin ,73018.025,Q2,Ovary
Prolactin ,145398.1525,Q3,Ovary
Prolactin ,14871.35,Q2,Pancreas
Prolactin ,27885.13,Q3,Pancreas
Prolactin ,16766.675,Q2,Stomach
Prolactin ,27403.815000000002,Q3,Stomach
CYFRA 21-1 ,1988.196,Q2,Breast
CYFRA 21-1 ,2740.69,Q3,Breast
CYFRA 21-1 ,1973.604,Q2,Colorectum
CYFRA 21-1 ,2909.475,Q3,Colorectum
CYFRA 21-1 ,2349.47,Q2,Esophagus
CYFRA 21-1 ,4304.34,Q3,Esophagus
CYFRA 21-1 ,2841.7799999999997,Q2,Liver
CYFRA 21-1 ,5291.3775000000005,Q3,Liver
CYFRA 21-1 ,1988.196,Q2,Lung
CYFRA 21-1 ,6202.71,Q3,Lung
CYFRA 21-1 ,1994.874,Q2,Normal
CYFRA 21-1 ,2008.29,Q3,Normal
CYFRA 21-1 ,2836.8050000000003,Q2,Ovary
CYFRA 21-1 ,5983.407499999999,Q3,Ovary
CYFRA 21-1 ,2048.838,Q2,Pancreas
CYFRA 21-1 ,3780.79,Q3,Pancreas
CYFRA 21-1 ,2084.25,Q2,Stomach
CYFRA 21-1 ,3318.97,Q3,Stomach
OPN ,43650.19,Q2,Breast
OPN ,63476.479999999996,Q3,Breast
OPN ,62453.265,Q2,Colorectum
OPN ,97245.1875,Q3,Colorectum
OPN ,99790.86,Q2,Esophagus
OPN ,142119.1,Q3,Esophagus
OPN ,122868.58,Q2,Liver
OPN ,172048.5525,Q3,Liver
OPN ,48674.75,Q2,Lung
OPN ,66342.045,Q3,Lung
OPN ,27604.34,Q2,Normal
OPN ,38776.3,Q3,Normal
OPN ,65035.784999999996,Q2,Ovary
OPN ,87478.88,Q3,Ovary
OPN ,67806.64,Q2,Pancreas
OPN ,97064.64,Q3,Pancreas
OPN ,95472.26000000001,Q2,Stomach
OPN ,132590.8775,Q3,Stomach
HE4 ,4050.042,Q2,Breast
HE4 ,4104.492,Q3,Breast
HE4 ,4067.232,Q2,Colorectum
HE4 ,4873.67,Q3,Colorectum
HE4 ,4209.156,Q2,Esophagus
HE4 ,5947.63,Q3,Esophagus
HE4 ,4067.232,Q2,Liver
HE4 ,4209.156,Q3,Liver
HE4 ,4104.492,Q2,Lung
HE4 ,4241.664,Q3,Lung
HE4 ,4056.792,Q2,Normal
HE4 ,4155.06,Q3,Normal
HE4 ,7354.4,Q2,Ovary
HE4 ,16014.51,Q3,Ovary
HE4 ,4092.972,Q2,Pancreas
HE4 ,11825.82,Q3,Pancreas
HE4 ,4104.492,Q2,Stomach
HE4 ,4209.156,Q3,Stomach
sEGFR ,1716.155,Q2,Breast
sEGFR ,2327.4875,Q3,Breast
sEGFR ,1688.705,Q2,Colorectum
sEGFR ,2591.9075,Q3,Colorectum
sEGFR ,1237.64,Q2,Esophagus
sEGFR ,1813.63,Q3,Esophagus
sEGFR ,1105.355,Q2,Liver
sEGFR ,1911.3625000000002,Q3,Liver
sEGFR ,1581.53,Q2,Lung
sEGFR ,2197.06,Q3,Lung
sEGFR ,2509.59,Q2,Normal
sEGFR ,3317.375,Q3,Normal
sEGFR ,1979.335,Q2,Ovary
sEGFR ,2448.5325,Q3,Ovary
sEGFR ,2821.83,Q2,Pancreas
sEGFR ,4079.31,Q3,Pancreas
sEGFR ,1154.875,Q2,Stomach
sEGFR ,1738.115,Q3,Stomach
HGF ,192.48,Q2,Breast
HGF ,289.27,Q3,Breast
HGF ,260.86,Q2,Colorectum
HGF ,380.32,Q3,Colorectum
HGF ,484.16,Q2,Esophagus
HGF ,1008.61,Q3,Esophagus
HGF ,558.06,Q2,Liver
HGF ,1077.7325,Q3,Liver
HGF ,185.41,Q2,Lung
HGF ,238.31,Q3,Lung
HGF ,165.462,Q2,Normal
HGF ,192.925,Q3,Normal
HGF ,248.235,Q2,Ovary
HGF ,347.95000000000005,Q3,Ovary
HGF ,304.45,Q2,Pancreas
HGF ,482.99,Q3,Pancreas
HGF ,465.81,Q2,Stomach
HGF ,1186.82,Q3,Stomach
sFas ,1388.56,Q2,Breast
sFas ,2044.5749999999998,Q3,Breast
sFas ,233.515,Q2,Colorectum
sFas ,1241.02,Q3,Colorectum
sFas ,1156.97,Q2,Esophagus
sFas ,2198.53,Q3,Esophagus
sFas ,1803.62,Q2,Liver
sFas ,2881.5225,Q3,Liver
sFas ,202.158,Q2,Lung
sFas ,1461.455,Q3,Lung
sFas ,1267.03,Q2,Normal
sFas ,1831.8449999999998,Q3,Normal
sFas ,207.24,Q2,Ovary
sFas ,207.24,Q3,Ovary
sFas ,2381.48,Q2,Pancreas
sFas ,3638.58,Q3,Pancreas
sFas ,1178.1550000000002,Q2,Stomach
sFas ,1800.5475,Q3,Stomach
GDF15 ,390.0,Q2,Breast
GDF15 ,572.5,Q3,Breast
GDF15 ,680.0,Q2,Colorectum
GDF15 ,1100.0,Q3,Colorectum
GDF15 ,990.0,Q2,Esophagus
GDF15 ,1440.0,Q3,Esophagus
GDF15 ,1020.0,Q2,Liver
GDF15 ,1482.5,Q3,Liver
GDF15 ,540.0,Q2,Lung
GDF15 ,820.0,Q3,Lung
GDF15 ,260.0,Q2,Normal
GDF15 ,520.0,Q3,Normal
GDF15 ,760.0,Q2,Ovary
GDF15 ,1060.0,Q3,Ovary
GDF15 ,1120.0,Q2,Pancreas
GDF15 ,2170.0,Q3,Pancreas
GDF15 ,775.0,Q2,Stomach
GDF15 ,1195.0,Q3,Stomach
Myeloperoxidase ,13805.0,Q2,Breast
Myeloperoxidase ,27407.5,Q3,Breast
Myeloperoxidase ,15660.0,Q2,Colorectum
Myeloperoxidase ,36652.5,Q3,Colorectum
Myeloperoxidase ,33820.0,Q2,Esophagus
Myeloperoxidase ,125380.0,Q3,Esophagus
Myeloperoxidase ,93695.0,Q2,Liver
Myeloperoxidase ,145055.0,Q3,Liver
Myeloperoxidase ,12910.0,Q2,Lung
Myeloperoxidase ,15742.5,Q3,Lung
Myeloperoxidase ,9730.0,Q2,Normal
Myeloperoxidase ,15290.0,Q3,Normal
Myeloperoxidase ,18355.0,Q2,Ovary
Myeloperoxidase ,36362.5,Q3,Ovary
Myeloperoxidase ,15480.0,Q2,Pancreas
Myeloperoxidase ,25770.0,Q3,Pancreas
Myeloperoxidase ,39575.0,Q2,Stomach
Myeloperoxidase ,92152.5,Q3,Stomach
TIMP-1 ,52004.895000000004,Q2,Breast
TIMP-1 ,66844.1875,Q3,Breast
TIMP-1 ,67066.36,Q2,Colorectum
TIMP-1 ,96834.20749999999,Q3,Colorectum
TIMP-1 ,109578.08,Q2,Esophagus
TIMP-1 ,176049.91,Q3,Esophagus
TIMP-1 ,95057.92000000001,Q2,Liver
TIMP-1 ,141925.5425,Q3,Liver
TIMP-1 ,57610.3,Q2,Lung
TIMP-1 ,73834.8675,Q3,Lung
TIMP-1 ,50652.36,Q2,Normal
TIMP-1 ,67186.95499999999,Q3,Normal
TIMP-1 ,104080.405,Q2,Ovary
TIMP-1 ,123225.035,Q3,Ovary
TIMP-1 ,97443.46,Q2,Pancreas
TIMP-1 ,136829.88,Q3,Pancreas
TIMP-1 ,86192.575,Q2,Stomach
TIMP-1 ,127176.0375,Q3,Stomach
AFP ★,946.938,Q2,Breast
AFP ★,1683.25,Q3,Breast
AFP ★,946.938,Q2,Colorectum
AFP ★,1594.5,Q3,Colorectum
AFP ★,1008.708,Q2,Esophagus
AFP ★,1989.46,Q3,Esophagus
AFP ★,9437.215,Q2,Liver
AFP ★,592839.507,Q3,Liver
AFP ★,999.432,Q2,Lung
AFP ★,1573.4325,Q3,Lung
AFP ★,895.128,Q2,Normal
AFP ★,1569.94,Q3,Normal
AFP ★,999.432,Q2,Ovary
AFP ★,2198.73,Q3,Ovary
AFP ★,1947.39,Q2,Pancreas
AFP ★,4189.16,Q3,Pancreas
AFP ★,1008.708,Q2,Stomach
AFP ★,2327.93,Q3,Stomach
NSE ,9210.0,Q2,Breast
NSE ,24085.0,Q3,Breast
NSE ,10960.0,Q2,Colorectum
NSE ,25982.5,Q3,Colorectum
NSE ,8080.0,Q2,Esophagus
NSE ,12930.0,Q3,Esophagus
NSE ,10305.0,Q2,Liver
NSE ,20400.0,Q3,Liver
NSE ,6905.0,Q2,Lung
NSE ,8892.5,Q3,Lung
NSE ,15090.0,Q2,Normal
NSE ,28880.0,Q3,Normal
NSE ,10090.0,Q2,Ovary
NSE ,19467.5,Q3,Ovary
NSE ,23320.0,Q2,Pancreas
NSE ,31500.0,Q3,Pancreas
NSE ,8080.0,Q2,Stomach
NSE ,12690.0,Q3,Stomach
CA-125 ★,4.98,Q2,Breast
CA-125 ★,6.71,Q3,Breast
CA-125 ★,5.01,Q2,Colorectum
CA-125 ★,6.52,Q3,Colorectum
CA-125 ★,4.98,Q2,Esophagus
CA-125 ★,6.97,Q3,Esophagus
CA-125 ★,5.775,Q2,Liver
CA-125 ★,8.6625,Q3,Liver
CA-125 ★,4.9879999999999995,Q2,Lung
CA-125 ★,8.23,Q3,Lung
CA-125 ★,4.962,Q2,Normal
CA-125 ★,4.998,Q3,Normal
CA-125 ★,155.36,Q2,Ovary
CA-125 ★,486.2925,Q3,Ovary
CA-125 ★,8.29,Q2,Pancreas
CA-125 ★,19.2,Q3,Pancreas
CA-125 ★,5.285,Q2,Stomach
CA-125 ★,8.86,Q3,Stomach
CA19-9 ★,16.53,Q2,Breast
CA19-9 ★,17.87,Q3,Breast
CA19-9 ★,16.536,Q2,Colorectum
CA19-9 ★,17.740000000000002,Q3,Colorectum
CA19-9 ★,16.686,Q2,Esophagus
CA19-9 ★,21.92,Q3,Esophagus
CA19-9 ★,17.39,Q2,Liver
CA19-9 ★,24.927500000000002,Q3,Liver
CA19-9 ★,16.689,Q2,Lung
CA19-9 ★,17.8625,Q3,Lung
CA19-9 ★,16.398,Q2,Normal
CA19-9 ★,16.602,Q3,Normal
CA19-9 ★,18.375,Q2,Ovary
CA19-9 ★,42.765,Q3,Ovary
CA19-9 ★,101.63,Q2,Pancreas
CA19-9 ★,316.3,Q3,Pancreas
CA19-9 ★,17.49,Q2,Stomach
CA19-9 ★,19.4925,Q3,Stomach
sHER2 ,5170.19,Q2,Breast
sHER2 ,6273.555,Q3,Breast
sHER2 ,4890.75,Q2,Colorectum
sHER2 ,6534.799999999999,Q3,Colorectum
sHER2 ,4136.42,Q2,Esophagus
sHER2 ,4950.14,Q3,Esophagus
sHER2 ,4779.395,Q2,Liver
sHER2 ,5983.3925,Q3,Liver
sHER2 ,4823.535,Q2,Lung
sHER2 ,5588.3325,Q3,Lung
sHER2 ,5478.5,Q2,Normal
sHER2 ,6456.07,Q3,Normal
sHER2 ,4593.075,Q2,Ovary
sHER2 ,5504.85,Q3,Ovary
sHER2 ,9184.31,Q2,Pancreas
sHER2 ,12690.17,Q3,Pancreas
sHER2 ,3901.25,Q2,Stomach
sHER2 ,4874.8150000000005,Q3,Stomach
Midkine ,293.58,Q2,Breast
Midkine ,426.08,Q3,Breast
Midkine ,438.115,Q2,Colorectum
Midkine ,691.8824999999999,Q3,Colorectum
Midkine ,308.12,Q2,Esophagus
Midkine ,488.85,Q3,Esophagus
Midkine ,352.11,Q2,Liver
Midkine ,521.9175,Q3,Liver
Midkine ,529.0,Q2,Lung
Midkine ,794.97,Q3,Lung
Midkine ,305.27,Q2,Normal
Midkine ,452.01,Q3,Normal
Midkine ,466.125,Q2,Ovary
Midkine ,678.55,Q3,Ovary
Midkine ,623.67,Q2,Pancreas
Midkine ,1061.6,Q3,Pancreas
Midkine ,317.42,Q2,Stomach
Midkine ,512.155,Q3,Stomach
